timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2021-09-04 13:00:00,0.0,0.0,0.0,0.0,3.0,0.0,25.1,0.0,3,Overcast,13,Saturday,True,3.0
2021-09-07 11:00:00,0.0,0.0,0.0,0.0,1.0,0.0,23.4,0.0,0,Clear sky,11,Tuesday,False,1.0
2021-09-09 13:00:00,0.0,0.0,0.0,0.0,1.0,0.0,25.1,0.0,3,Overcast,13,Thursday,False,1.0
2021-09-12 10:00:00,0.0,0.0,0.0,0.0,1.0,0.0,21.5,0.0,1,Mainly clear,10,Sunday,True,1.0
2021-12-08 07:00:00,0.0,0.0,0.0,0.0,1.0,0.0,10.8,0.0,3,Overcast,7,Wednesday,False,1.0
2022-11-07 05:00:00,0.0,0.0,0.0,0.0,0.0,1.0,14.2,0.0,2,Partly cloudy,5,Monday,False,1.0
2022-11-11 08:00:00,0.0,0.0,0.0,0.0,0.0,1.0,6.7,0.0,0,Clear sky,8,Friday,False,1.0
2023-02-25 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,8.8,0.0,0,Clear sky,7,Saturday,True,1.0
2023-03-01 18:00:00,0.0,0.0,0.0,0.0,1.0,0.0,8.1,0.0,3,Overcast,18,Wednesday,False,1.0
2023-03-09 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2,Partly cloudy,21,Thursday,False,1.0
2023-03-16 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,8.9,0.0,3,Overcast,7,Thursday,False,1.0
2023-03-24 10:00:00,0.0,0.0,0.0,0.0,0.0,1.0,9.1,0.0,3,Overcast,10,Friday,False,1.0
2023-03-24 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,3,Overcast,12,Friday,False,1.0
2023-03-26 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0,8.4,0.0,0,Clear sky,21,Sunday,True,1.0
2023-03-29 09:00:00,0.0,0.0,0.0,0.0,0.0,1.0,4.1,0.5,53,Rain,9,Wednesday,False,1.0
2023-03-29 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.4,51,Drizzle,12,Wednesday,False,1.0
2023-03-31 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,3.7,0.0,1,Mainly clear,7,Friday,False,1.0
2023-04-03 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,12.1,0.3,51,Drizzle,22,Monday,False,1.0
2023-04-04 10:00:00,0.0,0.0,0.0,0.0,0.0,2.0,13.5,0.0,3,Overcast,10,Tuesday,False,2.0
