timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-08-01,31.0,21.0,0.0
2024-08-02,32.5,22.5,0.5
2024-08-03,33.0,23.0,0.8
2024-08-04,34.5,24.5,0.5
2024-08-05,35.0,25.0,1.0
2024-08-06,34.0,24.0,0.5
2024-08-07,33.5,23.5,0.0
2024-08-08,32.0,22.0,0.8
2024-08-09,31.5,21.5,1.0
2024-08-10,32.5,22.5,1.2
2024-08-11,33.5,23.5,0.5
2024-08-12,34.0,24.0,0.0
2024-08-13,35.0,25.0,1.5
2024-08-14,34.5,24.5,2.0
2024-08-15,33.5,23.5,1.0
2024-08-16,33.0,23.0,0.5
2024-08-17,32.0,22.0,0.0
2024-08-18,31.0,21.0,1.0
2024-08-19,30.5,20.5,0.5
2024-08-20,31.5,21.5,0.0
2024-08-21,32.5,22.5,0.8
2024-08-22,33.0,23.0,1.0
2024-08-23,34.0,24.0,1.2
2024-08-24,35.0,25.0,0.5
2024-08-25,34.5,24.5,0.0
2024-08-26,33.0,23.0,1.5
2024-08-27,32.5,22.5,2.0
2024-08-28,31.5,21.5,1.0
2024-08-29,31.0,21.0,0.5
2024-08-30,30.5,20.5,0.0
2024-08-31,30.0,20.0,0.8
