timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-04-01,15.0,5.0,0.5
2024-04-02,16.5,6.5,0.8
2024-04-03,17.0,7.0,0.5
2024-04-04,18.5,8.0,1.0
2024-04-05,19.0,9.0,0.5
2024-04-06,17.5,7.5,0.8
2024-04-07,16.0,6.0,0.5
2024-04-08,15.0,5.0,0.0
2024-04-09,14.5,4.5,1.2
2024-04-10,15.5,5.5,0.5
2024-04-11,16.5,6.5,0.0
2024-04-12,18.0,7.0,1.0
2024-04-13,19.0,8.0,0.5
2024-04-14,17.5,6.5,0.8
2024-04-15,16.0,5.5,1.0
2024-04-16,15.5,5.0,0.5
2024-04-17,14.0,4.0,0.0
2024-04-18,13.0,3.0,0.8
2024-04-19,13.5,3.5,1.0
2024-04-20,14.5,4.5,1.2
2024-04-21,15.5,5.5,0.5
2024-04-22,16.0,6.0,0.0
2024-04-23,17.0,7.0,1.5
2024-04-24,18.0,8.0,2.0
2024-04-25,17.5,7.5,1.0
2024-04-26,16.0,6.0,0.5
2024-04-27,15.0,5.5,0.0
2024-04-28,14.5,4.5,1.0
2024-04-29,14.0,4.0,0.5
2024-04-30,13.0,3.0,0.8
