timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-02-01,8.0,0.0,1.0
2024-02-02,9.5,1.5,0.5
2024-02-03,10.0,2.0,0.0
2024-02-04,11.0,3.0,1.5
2024-02-05,12.0,4.0,2.0
2024-02-06,10.5,2.5,0.0
2024-02-07,9.0,1.0,0.8
2024-02-08,7.5,0.0,0.0
2024-02-09,6.5,-1.0,1.2
2024-02-10,7.0,-1.5,0.5
2024-02-11,8.5,0.0,0.0
2024-02-12,10.0,1.0,1.0
2024-02-13,11.5,2.5,0.5
2024-02-14,10.0,1.5,0.0
2024-02-15,9.0,0.5,1.0
2024-02-16,8.5,0.0,0.5
2024-02-17,7.0,-1.0,0.0
2024-02-18,6.0,-2.0,0.8
2024-02-19,6.5,-1.5,1.0
2024-02-20,7.5,-1.0,1.2
2024-02-21,8.5,0.0,0.5
2024-02-22,9.0,1.0,0.0
2024-02-23,10.0,2.0,1.5
2024-02-24,11.0,3.0,2.0
2024-02-25,10.5,2.5,1.0
2024-02-26,9.5,1.5,0.5
2024-02-27,8.0,0.5,0.0
2024-02-28,7.5,0.0,1.0
2024-02-29,7.0,-1.0,0.5
