timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-01-01,9.5,-2.0,0.0
2024-01-02,10.3,-1.5,1.2
2024-01-03,12.1,0.0,2.3
2024-01-04,13.4,1.2,0.5
2024-01-05,14.0,2.5,0.0
2024-01-06,11.2,1.0,0.0
2024-01-07,8.5,0.8,0.8
2024-01-08,7.8,-0.5,1.0
2024-01-09,6.9,-1.0,1.5
2024-01-10,8.2,-2.2,0.0
2024-01-11,9.1,-1.8,2.2
2024-01-12,10.5,-0.9,3.1
2024-01-13,12.3,0.5,0.0
2024-01-14,13.7,1.5,0.0
2024-01-15,11.8,0.0,1.2
2024-01-16,10.0,-1.0,2.0
2024-01-17,9.8,-2.5,1.8
2024-01-18,7.5,-3.0,0.0
2024-01-19,6.3,-3.5,0.0
2024-01-20,5.9,-4.0,1.5
2024-01-21,8.0,-2.5,2.3
2024-01-22,9.2,-1.8,0.0
2024-01-23,10.4,-1.0,0.0
2024-01-24,11.5,-0.2,0.5
2024-01-25,12.6,0.5,1.0
2024-01-26,13.0,1.0,1.8
2024-01-27,11.7,0.8,0.2
2024-01-28,10.2,-0.5,0.0
2024-01-29,9.6,-1.2,1.5
2024-01-30,8.3,-2.0,0.0
2024-01-31,7.2,-2.8,0.8
