timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-07-01,30.0,20.0,0.0
2024-07-02,31.5,21.5,0.5
2024-07-03,32.0,22.0,0.8
2024-07-04,33.0,23.0,0.5
2024-07-05,34.0,24.0,1.0
2024-07-06,33.5,23.5,0.5
2024-07-07,32.0,22.0,0.0
2024-07-08,31.0,21.0,0.8
2024-07-09,30.5,20.5,1.0
2024-07-10,31.5,21.5,1.2
2024-07-11,32.5,22.5,0.5
2024-07-12,33.0,23.0,0.0
2024-07-13,34.0,24.0,1.5
2024-07-14,33.5,23.5,2.0
2024-07-15,32.5,22.5,1.0
2024-07-16,32.0,22.0,0.5
2024-07-17,31.0,21.0,0.0
2024-07-18,30.0,20.0,1.0
2024-07-19,29.5,19.5,0.5
2024-07-20,30.5,20.5,0.0
2024-07-21,31.5,21.5,0.8
2024-07-22,32.0,22.0,1.0
2024-07-23,33.0,23.0,1.2
2024-07-24,34.0,24.0,0.5
2024-07-25,33.5,23.5,0.0
2024-07-26,32.0,22.0,1.5
2024-07-27,31.5,21.5,2.0
2024-07-28,30.5,20.5,1.0
2024-07-29,30.0,20.0,0.5
2024-07-30,29.5,19.5,0.0
2024-07-31,29.0,19.0,0.8
