timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-06-01,25.0,15.0,0.0
2024-06-02,26.5,16.5,0.5
2024-06-03,27.0,17.0,0.8
2024-06-04,28.5,18.0,0.5
2024-06-05,29.0,19.0,1.0
2024-06-06,28.5,18.5,0.5
2024-06-07,27.0,17.0,0.0
2024-06-08,26.0,16.0,0.8
2024-06-09,25.5,15.5,1.0
2024-06-10,26.5,16.5,1.2
2024-06-11,27.5,17.5,0.5
2024-06-12,28.0,18.0,0.0
2024-06-13,29.0,19.0,1.5
2024-06-14,28.5,18.5,2.0
2024-06-15,27.5,17.5,1.0
2024-06-16,27.0,17.0,0.5
2024-06-17,26.0,16.0,0.0
2024-06-18,25.0,15.0,1.0
2024-06-19,24.5,14.5,0.5
2024-06-20,25.5,15.5,0.0
2024-06-21,26.5,16.5,0.8
2024-06-22,27.0,17.0,1.0
2024-06-23,28.0,18.0,1.2
2024-06-24,29.0,19.0,0.5
2024-06-25,28.5,18.5,0.0
2024-06-26,27.0,17.0,1.5
2024-06-27,26.5,16.5,2.0
2024-06-28,25.5,15.5,1.0
2024-06-29,25.0,15.0,0.5
2024-06-30,24.5,14.5,0.0
