timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-03-01,10.0,2.0,0.5
2024-03-02,11.5,3.5,1.0
2024-03-03,12.0,4.0,0.0
2024-03-04,13.5,5.0,1.5
2024-03-05,14.0,6.0,2.0
2024-03-06,12.5,4.5,1.0
2024-03-07,11.0,3.0,0.8
2024-03-08,10.0,2.0,0.5
2024-03-09,9.5,1.5,1.2
2024-03-10,10.5,2.5,0.5
2024-03-11,11.5,3.5,0.0
2024-03-12,13.0,4.0,1.0
2024-03-13,14.0,5.0,0.5
2024-03-14,12.5,3.5,0.8
2024-03-15,11.0,2.5,1.0
2024-03-16,10.5,2.0,0.5
2024-03-17,9.0,1.0,0.0
2024-03-18,8.0,0.5,0.8
2024-03-19,8.5,0.0,1.0
2024-03-20,9.5,1.0,1.2
2024-03-21,10.5,2.0,0.5
2024-03-22,11.0,3.0,0.0
2024-03-23,12.0,4.0,1.5
2024-03-24,13.0,5.0,2.0
2024-03-25,12.5,4.5,1.0
2024-03-26,11.0,3.0,0.5
2024-03-27,10.0,2.5,0.0
2024-03-28,9.5,1.5,1.0
2024-03-29,9.0,1.0,0.5
2024-03-30,8.0,0.5,0.0
2024-03-31,7.5,0.0,0.8
