timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-05-01,20.0,10.0,0.0
2024-05-02,21.5,11.5,1.0
2024-05-03,22.0,12.0,0.5
2024-05-04,23.5,13.0,1.5
2024-05-05,24.0,14.0,2.0
2024-05-06,22.5,12.5,1.0
2024-05-07,21.0,11.0,0.8
2024-05-08,20.0,10.0,0.5
2024-05-09,19.5,9.5,1.2
2024-05-10,20.5,10.5,0.5
2024-05-11,21.5,11.5,0.0
2024-05-12,23.0,12.0,1.0
2024-05-13,24.0,13.0,0.5
2024-05-14,22.5,12.5,0.8
2024-05-15,21.0,11.5,1.0
2024-05-16,20.5,11.0,0.5
2024-05-17,19.0,10.0,0.0
2024-05-18,18.0,9.0,0.8
2024-05-19,18.5,9.5,1.0
2024-05-20,19.5,10.5,1.2
2024-05-21,20.5,11.5,0.5
2024-05-22,21.0,12.0,0.0
2024-05-23,22.0,13.0,1.5
2024-05-24,23.0,14.0,2.0
2024-05-25,22.5,13.5,1.0
2024-05-26,21.0,12.5,0.5
2024-05-27,20.0,12.0,0.0
2024-05-28,19.5,11.0,1.0
2024-05-29,19.0,10.5,0.5
2024-05-30,18.0,10.0,0.0
2024-05-31,17.5,9.5,0.8
