timestamp	Temperature Maximum	Temperature Minimum	Precipitation Total
1.11.2024	15.0	5.0	0.0
2.11.2024	14.5	4.5	0.5
3.11.2024	14.0	4.0	0.8
4.11.2024	13.5	3.5	0.5
5.11.2024	13.0	3.0	1.0
6.11.2024	12.5	2.5	0.5
7.11.2024	12.0	2.0	0.0
8.11.2024	11.5	1.5	0.8
9.11.2024	11.0	1.0	1.0
10.11.2024	10.5	0.5	1.2
11.11.2024	10.0	0.0	0.5
12.11.2024	9.5	-0.5	0.0
13.11.2024	9.0	-1.0	1.5
14.11.2024	8.5	-1.5	2.0
15.11.2024	8.0	-2.0	1.0
16.11.2024	7.5	-2.5	0.5
17.11.2024	7.0	-3.0	0.0
18.11.2024	6.5	-3.5	1.0
19.11.2024	6.0	-4.0	0.5
20.11.2024	5.5	-4.5	0.0
21.11.2024	5.0	-5.0	0.8
22.11.2024	4.5	-5.5	1.0
23.11.2024	4.0	-6.0	1.2
24.11.2024	3.5	-6.5	0.5
25.11.2024	3.0	-7.0	0.0
26.11.2024	2.5	-7.5	1.5
27.11.2024	2.0	-8.0	2.0
28.11.2024	1.5	-8.5	1.0
29.11.2024	1.0	-9.0	0.5
30.11.2024	0.5	-9.5	0.0
