timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-10-01,25.0,15.0,0.0
2024-10-02,24.5,14.5,0.5
2024-10-03,24.0,14.0,0.8
2024-10-04,23.5,13.5,0.5
2024-10-05,23.0,13.0,1.0
2024-10-06,22.5,12.5,0.5
2024-10-07,22.0,12.0,0.0
2024-10-08,21.5,11.5,0.8
2024-10-09,21.0,11.0,1.0
2024-10-10,20.5,10.5,1.2
2024-10-11,20.0,10.0,0.5
2024-10-12,19.5,9.5,0.0
2024-10-13,19.0,9.0,1.5
2024-10-14,18.5,8.5,2.0
2024-10-15,18.0,8.0,1.0
2024-10-16,17.5,7.5,0.5
2024-10-17,17.0,7.0,0.0
2024-10-18,16.5,6.5,1.0
2024-10-19,16.0,6.0,0.5
2024-10-20,15.5,5.5,0.0
2024-10-21,15.0,5.0,0.8
2024-10-22,14.5,4.5,1.0
2024-10-23,14.0,4.0,1.2
2024-10-24,13.5,3.5,0.5
2024-10-25,13.0,3.0,0.0
2024-10-26,12.5,2.5,1.5
2024-10-27,12.0,2.0,2.0
2024-10-28,11.5,1.5,1.0
2024-10-29,11.0,1.0,0.5
2024-10-30,10.5,0.5,0.0
2024-10-31,10.0,0.0,0.8
