timestamp,Temperature Maximum,Temperature Minimum,Precipitation Total
2024-09-01,29.0,19.0,0.0
2024-09-02,30.5,20.5,0.5
2024-09-03,31.0,21.0,0.8
2024-09-04,32.5,22.5,0.5
2024-09-05,33.0,23.0,1.0
2024-09-06,32.0,22.0,0.5
2024-09-07,31.5,21.5,0.0
2024-09-08,30.0,20.0,0.8
2024-09-09,29.5,19.5,1.0
2024-09-10,30.5,20.5,1.2
2024-09-11,31.5,21.5,0.5
2024-09-12,32.0,22.0,0.0
2024-09-13,33.0,23.0,1.5
2024-09-14,32.5,22.5,2.0
2024-09-15,31.5,21.5,1.0
2024-09-16,31.0,21.0,0.5
2024-09-17,30.0,20.0,0.0
2024-09-18,29.0,19.0,1.0
2024-09-19,28.5,18.5,0.5
2024-09-20,29.5,19.5,0.0
2024-09-21,30.5,20.5,0.8
2024-09-22,31.0,21.0,1.0
2024-09-23,32.0,22.0,1.2
2024-09-24,33.0,23.0,0.5
2024-09-25,32.5,22.5,0.0
2024-09-26,31.0,21.0,1.5
2024-09-27,30.5,20.5,2.0
2024-09-28,29.5,19.5,1.0
2024-09-29,29.0,19.0,0.5
2024-09-30,28.5,18.5,0.0
